path,fold
1.2.276.0.7230010.3.1.2.8323329.5602.1517875188.985233/1.2.276.0.7230010.3.1.3.8323329.5602.1517875188.985232/1.2.276.0.7230010.3.1.4.8323329.5602.1517875188.985234.dcm,0
1.2.276.0.7230010.3.1.2.8323329.32713.1517875161.927721/1.2.276.0.7230010.3.1.3.8323329.32713.1517875161.927720/1.2.276.0.7230010.3.1.4.8323329.32713.1517875161.927722.dcm,1
1.2.276.0.7230010.3.1.2.8323329.2230.1517875171.729019/1.2.276.0.7230010.3.1.3.8323329.2230.1517875171.729018/1.2.276.0.7230010.3.1.4.8323329.2230.1517875171.729020.dcm,2
1.2.276.0.7230010.3.1.2.8323329.3852.1517875179.788110/1.2.276.0.7230010.3.1.3.8323329.3852.1517875179.788109/1.2.276.0.7230010.3.1.4.8323329.3852.1517875179.788111.dcm,3
1.2.276.0.7230010.3.1.2.8323329.448.1517875162.988073/1.2.276.0.7230010.3.1.3.8323329.448.1517875162.988072/1.2.276.0.7230010.3.1.4.8323329.448.1517875162.988074.dcm,4
1.2.276.0.7230010.3.1.2.8323329.12872.1517875242.289733/1.2.276.0.7230010.3.1.3.8323329.12872.1517875242.289732/1.2.276.0.7230010.3.1.4.8323329.12872.1517875242.289734.dcm,0
1.2.276.0.7230010.3.1.2.8323329.10380.1517875223.444037/1.2.276.0.7230010.3.1.3.8323329.10380.1517875223.444036/1.2.276.0.7230010.3.1.4.8323329.10380.1517875223.444038.dcm,1
1.2.276.0.7230010.3.1.2.8323329.13050.1517875243.320049/1.2.276.0.7230010.3.1.3.8323329.13050.1517875243.320048/1.2.276.0.7230010.3.1.4.8323329.13050.1517875243.320050.dcm,2
1.2.276.0.7230010.3.1.2.8323329.13748.1517875247.714416/1.2.276.0.7230010.3.1.3.8323329.13748.1517875247.714415/1.2.276.0.7230010.3.1.4.8323329.13748.1517875247.714417.dcm,3
1.2.276.0.7230010.3.1.2.8323329.31974.1517875157.798568/1.2.276.0.7230010.3.1.3.8323329.31974.1517875157.798567/1.2.276.0.7230010.3.1.4.8323329.31974.1517875157.798569.dcm,4
1.2.276.0.7230010.3.1.2.8323329.12982.1517875242.860536/1.2.276.0.7230010.3.1.3.8323329.12982.1517875242.860535/1.2.276.0.7230010.3.1.4.8323329.12982.1517875242.860537.dcm,0
1.2.276.0.7230010.3.1.2.8323329.31733.1517875156.519325/1.2.276.0.7230010.3.1.3.8323329.31733.1517875156.519324/1.2.276.0.7230010.3.1.4.8323329.31733.1517875156.519326.dcm,1
1.2.276.0.7230010.3.1.2.8323329.13907.1517875248.593037/1.2.276.0.7230010.3.1.3.8323329.13907.1517875248.593036/1.2.276.0.7230010.3.1.4.8323329.13907.1517875248.593038.dcm,2
1.2.276.0.7230010.3.1.2.8323329.10078.1517875221.860800/1.2.276.0.7230010.3.1.3.8323329.10078.1517875221.860799/1.2.276.0.7230010.3.1.4.8323329.10078.1517875221.860801.dcm,3
1.2.276.0.7230010.3.1.2.8323329.4159.1517875181.421583/1.2.276.0.7230010.3.1.3.8323329.4159.1517875181.421582/1.2.276.0.7230010.3.1.4.8323329.4159.1517875181.421584.dcm,4
1.2.276.0.7230010.3.1.2.8323329.11246.1517875231.952752/1.2.276.0.7230010.3.1.3.8323329.11246.1517875231.952751/1.2.276.0.7230010.3.1.4.8323329.11246.1517875231.952753.dcm,0
1.2.276.0.7230010.3.1.2.8323329.4826.1517875185.8659/1.2.276.0.7230010.3.1.3.8323329.4826.1517875185.8658/1.2.276.0.7230010.3.1.4.8323329.4826.1517875185.8660.dcm,1
1.2.276.0.7230010.3.1.2.8323329.4204.1517875181.699921/1.2.276.0.7230010.3.1.3.8323329.4204.1517875181.699920/1.2.276.0.7230010.3.1.4.8323329.4204.1517875181.699922.dcm,2
1.2.276.0.7230010.3.1.2.8323329.31791.1517875156.859841/1.2.276.0.7230010.3.1.3.8323329.31791.1517875156.859840/1.2.276.0.7230010.3.1.4.8323329.31791.1517875156.859842.dcm,3
1.2.276.0.7230010.3.1.2.8323329.14305.1517875250.671908/1.2.276.0.7230010.3.1.3.8323329.14305.1517875250.671907/1.2.276.0.7230010.3.1.4.8323329.14305.1517875250.671909.dcm,4
1.2.276.0.7230010.3.1.2.8323329.4148.1517875181.361651/1.2.276.0.7230010.3.1.3.8323329.4148.1517875181.361650/1.2.276.0.7230010.3.1.4.8323329.4148.1517875181.361652.dcm,0
